lemma,present_phones,past_phones
have,HH AE V,HH AE D
cook,K UH K,K UH K T
it,IH T,IH T
bring,B R IH NG,B R AO T
examine,IH G Z AE M IH N,IH G Z AE M AH N D
it,IH T,IH T
call,K AO L,K AO L D
it,IH T,IH T
it,IH T,IH T
make,M EY K,M EY D
meet,M IY T,M EH T
read,R EH D,R EH D
set,S EH T,S EH T
check,CH EH K,CH EH K T
mention,M EH N SH AH N,M EH N SH AH N D
involve,IH N V AA L V,IH N V AA L V D
meet,M IY T,M EH T
de,D IY,D IH D
have,HH AE V,HH AE D
think,TH IH NG K,TH AO T
it,IH T,IH T
roll,R OW L,R OW L D
think,TH IH NG K,TH AO T
identify,AY D EH N T AH F AY,AY D EH N T AH F AY D
it,IH T,IH T
doe,D OW,D IH D
it,IH T,IH T
train,T R EY N,T R EY N D
sell,S EH L,S OW L D
limit,L IH M AH T,L IH M AH T AH D
it,IH T,IH T
have,HH AE V,HH AE D
point,P OY N T,P OY N T IH D
have,HH AE V,HH AE D
speak,S P IY K,S P OW K
rise,R AY Z,R OW Z
riddle,R IH D AH L,R IH D AH L D
it,IH T,IH T
have,HH AE V,HH AE D
decree,D IH K R IY,D IH K R IY D
prepare,P R IY P EH R,P R IY P EH R D
carry,K AE R IY,K AE R IY D
have,HH AE V,HH AE D
hand,HH AE N D,HH AE N D AH D
it,IH T,IH T
have,HH AE V,HH AE D
impose,IH M P OW Z,IH M P OW Z D
nod,N AA D,N AA D AH D
become,B IH K AH M,B IH K EY M
limit,L IH M AH T,L IH M AH T AH D
have,HH AE V,HH AE D
it,IH T,IH T
say,S EY,S EH D
it,IH T,IH T
read,R EH D,R EH D
force,F AO R S,F AO R S T
doe,D OW,D IH D
base,B EY S,B EY S T
suit,S UW T,S UW T IH D
speak,S P IY K,S P OW K
have,HH AE V,HH AE D
send,S EH N D,S EH N T
use,Y UW S,Y UW Z D
soothe,S UW DH,S UW DH D
make,M EY K,M EY D
it,IH T,IH T
heave,HH IY V,HH IY V D
it,IH T,IH T
make,M EY K,M EY D
separate,S EH P ER EY T,S EH P ER EY T IH D
shake,SH EY K,SH UH K
let,L EH T,L EH T
produce,P R AH D UW S,P R AH D UW S T
unite,Y UW N AY T,Y UW N AY T IH D
it,IH T,IH T
move,M UW V,M UW V D
erect,IH R EH K T,IH R EH K T AH D
place,P L EY S,P L EY S T
provide,P R AH V AY D,P R AH V AY D IH D
have,HH AE V,HH AE D
think,TH IH NG K,TH AO T
provide,P R AH V AY D,P R AH V AY D IH D
send,S EH N D,S EH N T
it,IH T,IH T
gain,G EY N,G EY N D
cum,K AH M,K EY M
have,HH AE V,HH AE D
have,HH AE V,HH AE D
think,TH IH NG K,TH AO T
make,M EY K,M EY D
use,Y UW S,Y UW Z D
make,M EY K,M EY D
it,IH T,IH T
unite,Y UW N AY T,Y UW N AY T IH D
de,D IY,D IH D
begin,B IH G IH N,B IH G AE N
have,HH AE V,HH AE D
please,P L IY Z,P L IY Z D
produce,P R AH D UW S,P R AH D UW S T
charge,CH AA R JH,CH AA R JH D
receive,R AH S IY V,R AH S IY V D
have,HH AE V,HH AE D
file,F AY L,F AY L D
crush,K R AH SH,K R AH SH T
doe,D OW,D IH D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
have,HH AE V,HH AE D
it,IH T,IH T
have,HH AE V,HH AE D
doe,D OW,D IH D
relate,R IH L EY T,R IH L EY T IH D
initiate,IH N IH SH IY EY T,IH N IH SH IY EY T AH D
come,K AH M,K EY M
make,M EY K,M EY D
retrieve,R IH T R IY V,R IY T R IY V D
get,G EH T,G AA T
start,S T AA R T,S T AA R T IH D
push,P UH SH,P UH SH T
address,AE D R EH S,AH D R EH S T
possess,P AH Z EH S,P AH Z EH S T
make,M EY K,M EY D
it,IH T,IH T
it,IH T,IH T
de,D IY,D IH D
come,K AH M,K EY M
bind,B AY N D,B AW N D
use,Y UW S,Y UW Z D
let,L EH T,L EH T
change,CH EY N JH,CH EY N JH D
pass,P AE S,P AE S T
have,HH AE V,HH AE D
conclude,K AH N K L UW D,K AH N K L UW D AH D
bind,B AY N D,B AW N D
it,IH T,IH T
doe,D OW,D IH D
point,P OY N T,P OY N T IH D
subdivide,S AH B D AH V AY D,S AH B D IH V AY D IH D
oppose,AH P OW Z,AH P OW Z D
it,IH T,IH T
miss,M IH S,M IH S T
hear,HH IY R,HH ER D
come,K AH M,K EY M
doe,D OW,D IH D
de,D IY,D IH D
broadcast,B R AO D K AE S T,B R AO D K AE S T
it,IH T,IH T
wrest,R EH S T,R EH S T IH D
have,HH AE V,HH AE D
begin,B IH G IH N,B IH G AE N
dissolve,D IH Z AA L V,D IH Z AA L V D
develop,D IH V EH L AH P,D IH V EH L AH P T
limit,L IH M AH T,L IH M AH T AH D
supply,S AH P L AY,S AH P L AY D
burst,B ER S T,B ER S T
have,HH AE V,HH AE D
it,IH T,IH T
involve,IH N V AA L V,IH N V AA L V D
disperse,D IH S P ER S,D IH S P ER S T
it,IH T,IH T
remain,R IH M EY N,R IH M EY N D
it,IH T,IH T
it,IH T,IH T
disguise,D IH S G AY Z,D IH S G AY Z D
read,R EH D,R EH D
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
involve,IH N V AA L V,IH N V AA L V D
include,IH N K L UW D,IH N K L UW D AH D
dedicate,D EH D AH K EY T,D EH D AH K EY T AH D
situate,S IH CH UW EY T,S IH CH UW EY T IH D
it,IH T,IH T
interrupt,IH N T ER AH P T,IH N T ER AH P T IH D
set,S EH T,S EH T
become,B IH K AH M,B IH K EY M
use,Y UW S,Y UW Z D
it,IH T,IH T
prove,P R UW V,P R UW V D
it,IH T,IH T
extrude,IH K S T R UW D,IH K S T R UW D AH D
modify,M AA D AH F AY,M AA D AH F AY D
slide,S L AY D,S L IH D
sound,S AW N D,S AW N D IH D
it,IH T,IH T
it,IH T,IH T
recognize,R EH K AH G N AY Z,R EH K AH G N AY Z D
prepare,P R IY P EH R,P R IY P EH R D
insert,IH N S ER T,IH N S ER T AH D
it,IH T,IH T
become,B IH K AH M,B IH K EY M
go,G OW,W EH N T
it,IH T,IH T
place,P L EY S,P L EY S T
cheat,CH IY T,CH IY T AH D
it,IH T,IH T
it,IH T,IH T
list,L IH S T,L IH S T AH D
it,IH T,IH T
unite,Y UW N AY T,Y UW N AY T IH D
tire,T AY ER,T AY ER D
it,IH T,IH T
bring,B R IH NG,B R AO T
shoot,SH UW T,SH AA T
hope,HH OW P,HH OW P T
laugh,L AE F,L AE F T
include,IH N K L UW D,IH N K L UW D AH D
check,CH EH K,CH EH K T
ask,AE S K,AE S K T
carry,K AE R IY,K AE R IY D
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
place,P L EY S,P L EY S T
have,HH AE V,HH AE D
let,L EH T,L EH T
de,D IY,D IH D
shut,SH AH T,SH AH T
part,P AA R T,P AA R T IH D
notice,N OW T AH S,N OW T AH S T
de,D IY,D IH D
it,IH T,IH T
output,AW T P UH T,AW T P UH T
it,IH T,IH T
close,K L OW S,K L OW Z D
borrow,B AA R OW,B AA R OW D
prepare,P R IY P EH R,P R IY P EH R D
have,HH AE V,HH AE D
bede,B IY D,B EY D
doe,D OW,D IH D
pulse,P AH L S,P AH L S T
cry,K R AY,K R AY D
have,HH AE V,HH AE D
set,S EH T,S EH T
de,D IY,D IH D
doe,D OW,D IH D
have,HH AE V,HH AE D
it,IH T,IH T
say,S EY,S EH D
cum,K AH M,K EY M
it,IH T,IH T
have,HH AE V,HH AE D
have,HH AE V,HH AE D
arm,AA R M,AA R M D
share,SH EH R,SH EH R D
recognize,R EH K AH G N AY Z,R EH K AH G N AY Z D
it,IH T,IH T
have,HH AE V,HH AE D
set,S EH T,S EH T
input,IH N P UH T,IH N P UH T
come,K AH M,K EY M
